country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Japan,,,,,,,,,,,,,,,,,,,,,8.03,,,7.79
Kazakhstan,,,,,,,,,,,,,,,,,,,,,11,,,11.1
Kenya,,,,,,,,,,,,,,,,,,,,,4.14,,,3.88
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,5.09,,,4.72
Cambodia,,,,,,,,,,,,,,,,,,,,,4.77,,,4.71
Kiribati,,,,,,,,,,,,,,,,,,,,,3.71,,,2.7
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,9.43,,,10.6
South Korea,,,,,,,,,,,,,,,,,,,,,,,,19.1
Kuwait,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1
Lao,,,,,,,,,,,,,,,,,,,,,6.73,,,6.99
Lebanon,,,,,,,,,,,,,,,,,,,,,2.23,,,2.3
Liberia,,,,,,,,,,,,,,,,,,,,,5.06,,,5.07
Libya,,,,,,,,,,,,,,,,,,,,,0.11,,,0.1
St. Lucia,,,,,,,,,,,,,,,,,,,,,11.8,,,12.1
Sri Lanka,,,,,,,,,,,,,,,,,,,,,0.79,,,0.81
Lesotho,,,,,,,,,,,,,,,,,,,,,5.55,,,5.56
Lithuania,,,,,,,,,,,,,,,,,,,,,15,,,16.3
Luxembourg,,,,,,,,,,,,,,,,,,,,,13,,,12.8
Latvia,,,,,,,,,,,,,,,,,,,,,12.5,,,13.4
Morocco,,,,,,,,,,,,,,,,,,,,,1.46,,,1.24
Moldova,,,,,,,,,18.1,,,,,,,,,,,,18.2,,,23
Madagascar,,,,,,,,,,,,,,,,,,,,,1.33,,,1.32
Mexico,,,,,,,,,,,,,,,,,,,,,8.42,,,8.55
North Macedonia,,,,,,,,12.7,,,,,,,,,,,,,8.51,,,8.94
Mali,,,,,,,,,,,,,,,,,,,,,1.04,,,0.99
Malta,,,,,,,,,,,,,,,,,,,,,4.27,,,4.1
Myanmar,,,,,,,,,,,,,,,,,,,,,0.57,,,0.58
Mongolia,,,,,,,,,,,,,,,,,,,,,3.24,,,3.41
Mozambique,,,,,,,,,,,,,,,,,,,,,2.38,,,2.27
Mauritania,,,,,,,,,,,,,,,,,,,,,0.11,,,0.11
Mauritius,,,,,,,,,,,,,,,,,,,,,3.72,,,3.53
Malawi,,,,,,,,,,,,,,,,,,,,,1.74,,,1.44
Malaysia,,,,,,,,,,,,,,,,,,,,,0.82,,,0.87
Namibia,,,,,,,,,,,,,,,,,,,,,9.62,,,12.1
Niger,,,,,,,,,,,,,,,,,,,,,0.34,,,0.34
Nigeria,,,,,,,,,,,,,,,,,,,,,12.3,,,12.7
Nicaragua,,,,,,,,,,,,,,,,,,,,,5.37,,,5.21
Niue,,,,,,,,,,,,,,,,,,,,,9.85,,,8.69
Netherlands,,,,,,,,,,,,,,,,,,,,,10.1,,,9.75
Norway,,,,,,,,,,6.26,,,,,,,,,,,7.81,,,8.35
Nepal,,,,,,,,,,,,,,,,,,,,,2.41,,,2.42
Nauru,,,,,,,,,,,,,,,,,,,,,4.83,,,4.81
New Zealand,,,,,,,,,,,9.19,,,,,,,,,,9.62,,,9.99
Oman,,,,,,,,,,,,,,,,,,,,,0.94,,,0.92
Pakistan,,,,,,,,,,,,,,,,,,,,,0.06,,,0.05
Panama,,,,,,,,,,,,,,,,,,,,,6.85,,,7.3
Peru,,,,,,,,,,,,,,,,,,,,,6.9,,,6.53
Philippines,,,,,,,,,,,,,,,,,,,,,6.38,,,6.08
Palau,,,,,,,,,,,,,,,,,,,,,10.1,,,9.86
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,3.49,,,3.64
Poland,,,,,,,,,,,,,,,,,,,,,13.3,,,14.4
Puerto Rico,,,,,,,,,,,,,,,,,,,,,5.75,,,
North Korea,,,,,,,,,,,,,,,,,,,,,18.3,,,
Portugal,,,,,,,,,,,,,,,,,,,,,14.6,,,13.9
Paraguay,,,,,,,,,,,,,,,,,,,,,7.88,,,7.91
Qatar,,,,,,,,,,,,,,,,,,,,,1.25,,,1.29
Romania,,,,,,,,,,,,,,,,,,,,,15.3,,,16.1
Russia,13.3,10.8,11,11.6,12,12.3,12.7,13.2,13.6,13.3,,,,,,,,,,,15.8,,,16.2
Rwanda,,,,,,,,,,,,,,,,,,,,,9.8,,,9.99
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,0.25,,,0.34
Sudan,,,,,,,,,,,,,,,,,,,,,2.56,,,2.56
Senegal,,,,,,,,,,,,,,,,,,,,,0.6,,,0.51
Singapore,,,,,,,,,,,,,,,,,,,,,1.55,,,1.54
Solomon Islands,,,,,,,,,,,,,,,,,,,,,1.66,,,1.37
Sierra Leone,,,,,,,,,,,,,,,,,,,,,9.72,,,9.48
El Salvador,,,,,,,,,,,,,,,,,,,,,3.61,,,3.99
Somalia,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5
Serbia,,,,,,,,,,,,,,,,,,,,,11.1,,,12.2
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,8.74,,,8.45
Suriname,,,,,,,,,,,,,,,,,,,,,6.09,,,6.56
Slovak Republic,,,,,,,,,,,,,,,,,,,,,13.3,,,13.3
Slovenia,,,,,,,,,24.2,,,,,,,,,,,,15.2,,,14.9
Sweden,,,,,,,,,,,,8,,8.2,,8.4,9.1,9.9,10.2,10.5,10.1,9.8,9.8,9.5
Eswatini,,,,,,,,,,,,,,,,,,,,,5.7,,,5.05
Seychelles,,,,,,,,,,,,,,,,,,,,,10.6,,,12.1
Syria,,,,,,,,,,,,,,,,,,,,,1.43,,,1.49
Chad,,,,,,,,,,,,,,,,,,,,,4.38,,,4.39
