,País,Ranking FELICIDAD,Viejo Ranking Felicidad,Ranking AMOR,Ranking SALUD,Ranking DINERO,Ranking SOCIAL
0,Netherlands,1,6,2,5,8,2
1,Luxembourg,6,14,16,3,1,13
2,Canada,9,8,1,16,16,11
3,Australia,10,10,8,17,15,9
4,Germany,11,16,10,14,14,7
5,Japan,13,28,21,1,20,15
6,Spain,18,23,12,12,28,17
7,Israel,22,11,23,24,30,12
8,United States,28,15,24,33,23,26
9,Turkey,29,33,18,27,33,30
10,Mexico,34,19,19,30,35,34
11,Latvia,35,30,35,35,32,35
